"num_jour";".groups";"pdsab_calc";".type"
1;"Site Audureau - Lot 1 - 300 Ab";112,602261802491;"predicted"
3,34;"Site Audureau - Lot 1 - 300 Ab";102,980803750242;"predicted"
5,68;"Site Audureau - Lot 1 - 300 Ab";94,2893572956561;"predicted"
8,02;"Site Audureau - Lot 1 - 300 Ab";86,4676257834701;"predicted"
10,36;"Site Audureau - Lot 1 - 300 Ab";79,4572525105689;"predicted"
12,7;"Site Audureau - Lot 1 - 300 Ab";73,2018207259866;"predicted"
15,04;"Site Audureau - Lot 1 - 300 Ab";67,6468536309063;"predicted"
17,38;"Site Audureau - Lot 1 - 300 Ab";62,7398143786599;"predicted"
19,72;"Site Audureau - Lot 1 - 300 Ab";58,4301060747284;"predicted"
22,06;"Site Audureau - Lot 1 - 300 Ab";54,6690717767419;"predicted"
24,4;"Site Audureau - Lot 1 - 300 Ab";51,4099944944792;"predicted"
26,74;"Site Audureau - Lot 1 - 300 Ab";48,6080971898684;"predicted"
29,08;"Site Audureau - Lot 1 - 300 Ab";46,2205427769865;"predicted"
31,42;"Site Audureau - Lot 1 - 300 Ab";44,2064341220592;"predicted"
33,76;"Site Audureau - Lot 1 - 300 Ab";42,5268140434615;"predicted"
36,1;"Site Audureau - Lot 1 - 300 Ab";41,1446653117173;"predicted"
38,44;"Site Audureau - Lot 1 - 300 Ab";40,0249106494995;"predicted"
40,78;"Site Audureau - Lot 1 - 300 Ab";39,13441273163;"predicted"
43,12;"Site Audureau - Lot 1 - 300 Ab";38,4419741850794;"predicted"
45,46;"Site Audureau - Lot 1 - 300 Ab";37,9183375889678;"predicted"
47,8;"Site Audureau - Lot 1 - 300 Ab";37,5361854745639;"predicted"
50,14;"Site Audureau - Lot 1 - 300 Ab";37,2701403252855;"predicted"
52,48;"Site Audureau - Lot 1 - 300 Ab";37,0967645766993;"predicted"
54,82;"Site Audureau - Lot 1 - 300 Ab";36,9945606165212;"predicted"
57,16;"Site Audureau - Lot 1 - 300 Ab";36,9439707846158;"predicted"
59,5;"Site Audureau - Lot 1 - 300 Ab";36,9273773729969;"predicted"
61,84;"Site Audureau - Lot 1 - 300 Ab";36,9291026258272;"predicted"
64,18;"Site Audureau - Lot 1 - 300 Ab";36,9354087394185;"predicted"
66,52;"Site Audureau - Lot 1 - 300 Ab";36,9344978622314;"predicted"
68,86;"Site Audureau - Lot 1 - 300 Ab";36,9165120948754;"predicted"
71,2;"Site Audureau - Lot 1 - 300 Ab";36,8735334901095;"predicted"
73,54;"Site Audureau - Lot 1 - 300 Ab";36,799584052841;"predicted"
75,88;"Site Audureau - Lot 1 - 300 Ab";36,6906257401267;"predicted"
78,22;"Site Audureau - Lot 1 - 300 Ab";36,544560461172;"predicted"
80,56;"Site Audureau - Lot 1 - 300 Ab";36,3612300773318;"predicted"
82,9;"Site Audureau - Lot 1 - 300 Ab";36,1424164021094;"predicted"
85,24;"Site Audureau - Lot 1 - 300 Ab";35,8918412011576;"predicted"
87,58;"Site Audureau - Lot 1 - 300 Ab";35,6151661922776;"predicted"
89,92;"Site Audureau - Lot 1 - 300 Ab";35,3199930454203;"predicted"
92,26;"Site Audureau - Lot 1 - 300 Ab";35,0158633826849;"predicted"
94,6;"Site Audureau - Lot 1 - 300 Ab";34,7142587783201;"predicted"
96,94;"Site Audureau - Lot 1 - 300 Ab";34,4286007587232;"predicted"
99,28;"Site Audureau - Lot 1 - 300 Ab";34,1742508024409;"predicted"
101,62;"Site Audureau - Lot 1 - 300 Ab";33,9685103401682;"predicted"
103,96;"Site Audureau - Lot 1 - 300 Ab";33,8306207547499;"predicted"
106,3;"Site Audureau - Lot 1 - 300 Ab";33,7817633811795;"predicted"
108,64;"Site Audureau - Lot 1 - 300 Ab";33,845059506599;"predicted"
110,98;"Site Audureau - Lot 1 - 300 Ab";34,0455703702999;"predicted"
113,32;"Site Audureau - Lot 1 - 300 Ab";34,4102971637225;"predicted"
115,66;"Site Audureau - Lot 1 - 300 Ab";34,9681810304568;"predicted"
118;"Site Audureau - Lot 1 - 300 Ab";35,7501030662403;"predicted"
